,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-03-25,0.0190262531493796,-0.0164336640812662,-0.0024456641119972,-0.0188793281932637,0.0003564290330289,0,0,0,0,0.1443233910199809
2015-03-26,0.0171228610535609,-0.0010453943294536,-0.0009359065419357,-0.0019813008713893,3.925553142968272e-06,0,0,0,0,0.1925008729981475
2015-03-27,0.0123411706020987,-0.0099246386902392,0.0020896969507688,-0.0078349417394703,6.138631206089393e-05,0,0,0,0,0.1034522108211801
2015-03-30,0.0151285328604066,0.0130501031428385,0.006224505768578,0.019274608911417,0.000371510548688,0,0,0,0,0.1484014254336614
2015-03-31,0.0111337617009694,-0.004378562183621,0.0015109483020197,-0.0028676138816017,8.223209373954925e-06,0,0,0,0,0.1196998197058134
2015-04-01,0.0155462095776487,-0.0083553468386341,-0.0030366736751698,-0.0113920205138038,0.0001297781313869,0,0,0,0,0.1611835574249745
2015-04-02,0.0069026057226645,-0.0001600384095602,0.0083561469669746,0.0081961085574144,6.717619548492292e-05,0,0,0,0,0.1536126519690239
2015-04-03,0.0069026057226645,-0.0001600384095602,0.0083561469669746,0.0081961085574144,6.717619548492292e-05,0,0,0,0,0.1536126519690239
2015-04-06,0.0239221389229239,0.0211342357168064,-0.0037682946976809,0.0173659410191255,0.0003015759074797,0,0,0,0,0.1794547973941249
2015-04-07,0.0113092098583317,-0.0040127517553193,0.0015795743149647,-0.0024331774403547,5.920352456251348e-06,0,0,0,0,0.1231927155872931
2015-04-08,0.0126351850344581,-0.006655336235661,-0.0017367643191282,-0.0083921005547891,7.04273517216918e-05,0,0,0,0,0.128701020834574
2015-04-09,0.0124320425336017,-0.0048561423310459,0.00127125394524,-0.0035848883858058,1.28514247386856e-05,0,0,0,0,0.1326108614880775
2015-04-10,0.0144252323040483,0.0070392191640002,0.0052530779929867,0.0122922971569869,0.0001511005693956,0,0,0,0,0.1683726158200458
2015-04-13,0.0128560634392336,-0.0011818429068057,0.0015758384203532,0.0003939955135474,1.5523246469552886e-07,0,0,0,0,0.1459961949588575
2015-04-14,0.0101900091927068,-0.0060752090281469,0.0015744315619455,-0.0045007774662013,2.0256997800265993e-05,0,0,0,0,0.1005742002209085
2015-04-15,0.0064858251562367,-0.0001578158292558,0.0030027679614866,0.0028449521322309,8.093752634685171e-06,0,0,0,0,0.0870061464676156
2015-04-16,0.0067930750957191,0.0010666246295372,-0.0017376198985405,-0.0006709952690031,4.502346510246239e-07,0,0,0,0,0.0804021101127117
2015-04-17,0.0134580629215393,-0.0119570974211221,-0.0034409826899992,-0.0153980801111215,0.0002371008711085,0,0,0,0,0.1090276457867129
2015-04-20,0.0228268716343799,0.0192477850329749,0.0063152214362259,0.0255630064692007,0.0006534672997443,0,0,0,0,0.1990980952118553
2015-04-21,0.010832131032228,-0.0065825799946943,0.0007907523028958,-0.0057918276917985,3.354526801148434e-05,0,0,0,0,0.1035555206572236
2015-04-22,0.0131299529058136,0.0082748513362239,-0.0016524377210891,0.0066224136151347,4.385636208992164e-05,0,0,0,1,0.1254764971686729
2015-04-23,0.0154966251698966,0.0149105249576754,0.0001179216462361,0.0150284466039116,0.0002258542073266,0,0,1,0,0.0928410229105182
2015-04-24,0.0093195883840188,-0.0006157217686019,0.0005864846796599,-2.923708894231325e-05,8.548073698207356e-10,0,1,0,0,0.1048497470250216
